id,name,postcode,latitude,longitude,phone_number,active,email,only_impressions,dentist_user_id,hubspot_id,signed_sla,eon_dentist_id,created_at,updated_at,gdc_number,aligner_provider,can_provide_elastics,key_account_manager_id,notes,receiving_cases,weekly_availability_hours
279,Deepcar Dental Care,S362RH,53.4812125,-1.5812815,01142882121,1,ibraheem.ijaz@gmail.com,0,617.0,6030751.0,,,2025-05-08 10:14:09.948902,2025-05-08 10:14:09.948932,301711,EON,0,603.0,,1,35.3
69,Revive Clinic,NW8 8BS,51.5233623,-0.1599787,020 7724 6191,1,info@churchstreetdental.net,0,157.0,18758001.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,278966,EON,0,173.0,,1,11.4
156,Crabtree Road Dental Practice,RH11 7HL,51.119754,-0.1958904,01293 526481,1,kelliedownie@hotmail.com,0,297.0,137121674486.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,,EON,0,460.0,,1,14.8
94,Holyrood Dental Care,EH8     8AU,55.95787,-3.16143,0131 557 0202,1,info@holyrooddentalcare.co.uk,0,51.0,4159296.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,,EON,0,460.0,,1,25.5
191,Pall Mall Dental,SW1Y 5LU,51.5069926,-0.1334053,020 7766 7150,1,Info@pallmalldental.co.uk,0,440.0,4156880.0,,,2025-02-12 15:08:16.821267,2025-04-25 12:14:48.426620,278738,EON,0,460.0,,0,35.3
251,Buxton Dental Practice,SK17 6DZ,53.25692,-1.91364,01298 70183,1,craigdental@gmail.com,0,522.0,239428247796.0,,,2025-03-26 09:53:32.890203,2025-05-01 14:51:35.989522,251889,ALS,0,33.0,,1,38.1
68,SW3 Dental,SW3  5EP,51.4848568,-0.1747013,7809238504,1,info@sw3dental.com,0,40.0,19050801.0,,,2025-01-23 12:00:34.557251,2025-05-08 12:24:19.063653,114943.,KLINE,0,511.0,,1,29.8
29,TLC 4 Smiles - Leek,ST13 6BH,53.1119143,-2.0154167,7722250541,1,ahmedgiz@hotmail.com,0,82.0,3886821818.0,,,2025-01-23 12:00:34.557251,2025-05-08 14:20:13.872041,291465,EON,0,460.0,,0,17.3
190,Confident Dental Care,LU1 2DP,51.8785152,-0.4175117,01582 723220,1,confidentdentalcare@hotmail.com,0,432.0,194177725626.0,,,2025-02-12 09:35:56.973523,2025-05-09 13:37:43.653407,76608,EON,0,603.0,,1,42.3
182,Crankhall Lane Dental Practice,WS10 0ED,52.5516144,-1.9956394,0121 502 5517,1,manjbhandaldentist@hotmail.com,0,414.0,180262759624.0,,,2025-02-03 10:07:22.410527,2025-04-30 08:18:38.706574,85545,EON,0,460.0,NO SECOND OPINIONS,1,19.2
